,id,name
0,0,None_shake head no small_None_lin
1,1,None_shake head no small_None_sine
2,2,None_shake head no small_None_elastic
3,3,None_shake head no small_None_back
4,4,None_shake head no small_None_circ
5,5,None_shake head no small_Blink_lin
6,6,None_shake head no small_Blink_sine
7,7,None_shake head no small_Blink_elastic
8,8,None_shake head no small_Blink_back
9,9,None_shake head no small_Blink_circ
10,10,None_shake head no small_Double Blink_lin
11,11,None_shake head no small_Double Blink_sine
12,12,None_shake head no small_Double Blink_elastic
13,13,None_shake head no small_Double Blink_back
14,14,None_shake head no small_Double Blink_circ
15,15,None_shake head no small_Happy_lin
16,16,None_shake head no small_Happy_sine
17,17,None_shake head no small_Happy_elastic
18,18,None_shake head no small_Happy_back
19,19,None_shake head no small_Happy_circ
20,20,None_shake head no small_sad_lin
21,21,None_shake head no small_sad_sine
22,22,None_shake head no small_sad_elastic
23,23,None_shake head no small_sad_back
24,24,None_shake head no small_sad_circ
25,25,Look up_shake head no small_None_lin
26,26,Look up_shake head no small_None_sine
27,27,Look up_shake head no small_None_elastic
28,28,Look up_shake head no small_None_back
29,29,Look up_shake head no small_None_circ
30,30,Look up_shake head no small_Blink_lin
31,31,Look up_shake head no small_Blink_sine
32,32,Look up_shake head no small_Blink_elastic
33,33,Look up_shake head no small_Blink_back
34,34,Look up_shake head no small_Blink_circ
35,35,Look up_shake head no small_Double Blink_lin
36,36,Look up_shake head no small_Double Blink_sine
37,37,Look up_shake head no small_Double Blink_elastic
38,38,Look up_shake head no small_Double Blink_back
39,39,Look up_shake head no small_Double Blink_circ
40,40,Look up_shake head no small_Happy_lin
41,41,Look up_shake head no small_Happy_sine
42,42,Look up_shake head no small_Happy_elastic
43,43,Look up_shake head no small_Happy_back
44,44,Look up_shake head no small_Happy_circ
45,45,Look up_shake head no small_sad_lin
46,46,Look up_shake head no small_sad_sine
47,47,Look up_shake head no small_sad_elastic
48,48,Look up_shake head no small_sad_back
49,49,Look up_shake head no small_sad_circ
50,50,Look Down_shake head no small_None_lin
51,51,Look Down_shake head no small_None_sine
52,52,Look Down_shake head no small_None_elastic
53,53,Look Down_shake head no small_None_back
54,54,Look Down_shake head no small_None_circ
55,55,Look Down_shake head no small_Blink_lin
56,56,Look Down_shake head no small_Blink_sine
57,57,Look Down_shake head no small_Blink_elastic
58,58,Look Down_shake head no small_Blink_back
59,59,Look Down_shake head no small_Blink_circ
60,60,Look Down_shake head no small_Double Blink_lin
61,61,Look Down_shake head no small_Double Blink_sine
62,62,Look Down_shake head no small_Double Blink_elastic
63,63,Look Down_shake head no small_Double Blink_back
64,64,Look Down_shake head no small_Double Blink_circ
65,65,Look Down_shake head no small_Happy_lin
66,66,Look Down_shake head no small_Happy_sine
67,67,Look Down_shake head no small_Happy_elastic
68,68,Look Down_shake head no small_Happy_back
69,69,Look Down_shake head no small_Happy_circ
70,70,Look Down_shake head no small_sad_lin
71,71,Look Down_shake head no small_sad_sine
72,72,Look Down_shake head no small_sad_elastic
73,73,Look Down_shake head no small_sad_back
74,74,Look Down_shake head no small_sad_circ
75,75,nod_shake head no small_None_lin
76,76,nod_shake head no small_None_sine
77,77,nod_shake head no small_None_elastic
78,78,nod_shake head no small_None_back
79,79,nod_shake head no small_None_circ
80,80,nod_shake head no small_Blink_lin
81,81,nod_shake head no small_Blink_sine
82,82,nod_shake head no small_Blink_elastic
83,83,nod_shake head no small_Blink_back
84,84,nod_shake head no small_Blink_circ
85,85,nod_shake head no small_Double Blink_lin
86,86,nod_shake head no small_Double Blink_sine
87,87,nod_shake head no small_Double Blink_elastic
88,88,nod_shake head no small_Double Blink_back
89,89,nod_shake head no small_Double Blink_circ
90,90,nod_shake head no small_Happy_lin
91,91,nod_shake head no small_Happy_sine
92,92,nod_shake head no small_Happy_elastic
93,93,nod_shake head no small_Happy_back
94,94,nod_shake head no small_Happy_circ
95,95,nod_shake head no small_sad_lin
96,96,nod_shake head no small_sad_sine
97,97,nod_shake head no small_sad_elastic
98,98,nod_shake head no small_sad_back
99,99,nod_shake head no small_sad_circ
100,100,tick up_shake head no small_None_lin
101,101,tick up_shake head no small_None_sine
102,102,tick up_shake head no small_None_elastic
103,103,tick up_shake head no small_None_back
104,104,tick up_shake head no small_None_circ
105,105,tick up_shake head no small_Blink_lin
106,106,tick up_shake head no small_Blink_sine
107,107,tick up_shake head no small_Blink_elastic
108,108,tick up_shake head no small_Blink_back
109,109,tick up_shake head no small_Blink_circ
110,110,tick up_shake head no small_Double Blink_lin
111,111,tick up_shake head no small_Double Blink_sine
112,112,tick up_shake head no small_Double Blink_elastic
113,113,tick up_shake head no small_Double Blink_back
114,114,tick up_shake head no small_Double Blink_circ
115,115,tick up_shake head no small_Happy_lin
116,116,tick up_shake head no small_Happy_sine
117,117,tick up_shake head no small_Happy_elastic
118,118,tick up_shake head no small_Happy_back
119,119,tick up_shake head no small_Happy_circ
120,120,tick up_shake head no small_sad_lin
121,121,tick up_shake head no small_sad_sine
122,122,tick up_shake head no small_sad_elastic
123,123,tick up_shake head no small_sad_back
124,124,tick up_shake head no small_sad_circ
125,125,None_shake head no medium_None_lin
126,126,None_shake head no medium_None_sine
127,127,None_shake head no medium_None_elastic
128,128,None_shake head no medium_None_back
129,129,None_shake head no medium_None_circ
130,130,None_shake head no medium_Blink_lin
131,131,None_shake head no medium_Blink_sine
132,132,None_shake head no medium_Blink_elastic
133,133,None_shake head no medium_Blink_back
134,134,None_shake head no medium_Blink_circ
135,135,None_shake head no medium_Double Blink_lin
136,136,None_shake head no medium_Double Blink_sine
137,137,None_shake head no medium_Double Blink_elastic
138,138,None_shake head no medium_Double Blink_back
139,139,None_shake head no medium_Double Blink_circ
140,140,None_shake head no medium_Happy_lin
141,141,None_shake head no medium_Happy_sine
